mouse_idx,acquisition_idx,doi_citations,location,protocole_id,probes,sex,animal_strain,age_days,date_of_birth,weight,slice_position,temperature,procedure_type,procedure_info,anesthesia,seringe_gage,flush,injection_type,mb_dilution,volume_mb_injected,FRC_um,saturation_percent,mean_track_length_frames,mean_velocity_mm_s,quality_grade
mouse_37,acquisition_2,10.1016/j.ultrasmedbio.2024.05.023,Mc Gill,Animal Use Protocol AUP-4532,L22-14,M,C57bl/6J,48,5/1/2023,"23,5",,,Trig,"On the R-wave -  Labeo Technologies Inc., Quebec, Canada",1.5-2% isoflurane,,,Bolus in the tail vein,1:10,4 uL/g,23.71,53,38.7,6.45,A
mouse_38,acquisition_1,10.1016/j.ultrasmedbio.2024.05.023,Mc Gill,Animal Use Protocol AUP-4532,L22-14,M,C57bl/6J,48,5/1/2023,"21,2",,,,,1.5-2% isoflurane,,,Bolus in the tail vein,1:10,4 uL/g,23.13,59.3,35.1,6.77,A
mouse_38,acquisition_2,10.1016/j.ultrasmedbio.2024.05.023,Mc Gill,Animal Use Protocol AUP-4532,L22-14,M,C57bl/6J,48,5/1/2023,"21,2",,,Trig,"On the R-wave -  Labeo Technologies Inc., Quebec, Canada",1.5-2% isoflurane,,,Bolus in the tail vein,1:10,4 uL/g,24.73,57.9,35.5,7.01,A
mouse_39,acquisition_1,,McGill,Animal Use Protocol AUP-4532,L8-18iD 0.658mm Lens,M,C57bl/6N,63,2/1/2025,"22,5",-3,,,,1.5-2% isoflurane,30G,,Bolus in the tail vein,1:20,4 uL/g,37.85,5.2,26.6,14.42,C
mouse_40,acquisition_1,,McGill,Animal Use Protocol AUP-4532,L8-18iD 0.658mm Lens,M,C57bl/6N,49,16/01/2025,22,-3,,,,1.5-2% isoflurane,30G,,Bolus in the tail vein,1:20,4 uL/g,47.17,2,27.5,15.22,C
mouse_41,acquisition_1,,McGill,Animal Use Protocol AUP-4532,L8-18iD 0.658mm Lens,M,C57bl/6N,49,16/01/2025,17,-3,,,,1.5-2% isoflurane,30G,,Bolus in the tail vein,1:20,4 uL/g,56.61,2.7,26.6,14.33,C
mouse_42,acquisition_1,,UDM, 22-013 (may not be up to date),L22-14,M,C57bl/6J,59,3/4/2023,"20,9",,35-36,"Functional, skin removed","whisker stimulation, transcranial but skin removed",Ketamine (50mg/kg) and Medetomidine (1mg/kg),n\a,,Bolus retro-orbital,Pure injection,10 uL,16.9,43.4,41.7,6.68,A
mouse_42,acquisition_2,,UDM, 22-013 (may not be up to date),L22-14,M,C57bl/6J,59,3/4/2023,"20,9",,35-36,"Functional, skin removed","whisker stimulation, transcranial but skin removed",Ketamine (50mg/kg) and Medetomidine (1mg/kg),n\a,,Bolus retro-orbital,Pure injection,10 uL,14.21,43.9,37.5,6.85,A
mouse_43,acquisition_1,,ICM,TAC 2023-32-02,L8-18iD 0.712mm Lens,F,C57bl/6N,155,8/1/2024,24,,,,,1.5-2% isoflurane,27G,Yes,Bolus in catheter tail vein,1:10,4 uL/g,46.2,24.2,29.8,10.99,C
mouse_44,acquisition_1,,ICM,TAC 2023-32-02,L8-18iD 0.712mm Lens,F,C57bl/6N,155,8/1/2024,20,,,,,1.5-2% isoflurane,27G,Yes,Bolus in catheter tail vein,1:10,4 uL/g,59.2,26.4,29.2,11.61,C
mouse_45,acquisition_1,,ICM,TAC 2023-32-02,L8-18iD 0.712mm Lens,M,C57bl/6J,110,6/1/2024,26,,,,,1.5-2% isoflurane,,Yes,Bolus in catheter tail vein,1:10,4 uL/g,47.29,33.2,31,10.31,C
